"MATERIA","DESCRIPCION","ABREVIATURA","DEPARTAMENTO","CURSO"
30824,Atención básica al cliente,ABC,,1º de PCPI - Auxiliar Dependiente de Comercio
30830,Formación práctica en centro de trabajo,FCT,,1º de PCPI - Auxiliar Dependiente de Comercio
28687,Formación y orientación laboral,FOL,,CFGS (Modular presencial) (Mantenimiento de Aviónica)
28688,"Sist. De Vuelo Automático:Piloto Automático, Gestión de Vuelo y Entorno de Vuelo",SVA,,CFGS (Modular presencial) (Mantenimiento de Aviónica)
28689,Inglés Técnico,INGTE,,CFGS (Modular presencial) (Mantenimiento de Aviónica)
28690,Relaciones en el entorno de trabajo,RET,,CFGS (Modular presencial) (Mantenimiento de Aviónica)
28691,Constitución y navegación de las aeronaves,CNA,,CFGS (Modular presencial) (Mantenimiento de Aviónica)
28692,Técnicas electromecánicas básicas para el mantenimiento,TEB,,CFGS (Modular presencial) (Mantenimiento de Aviónica)
28693,Legislación y organización del mantenimiento,LOM,,CFGS (Modular presencial) (Mantenimiento de Aviónica)
28694,Planta de potencia y sistemas mecánicos de aeronaves,PPSMA,,CFGS (Modular presencial) (Mantenimiento de Aviónica)
28695,Sistemas eléctricos de la aeronave y componentes asociados,SEA,,CFGS (Modular presencial) (Mantenimiento de Aviónica)
28696,Seguridad en el mantenimiento de las aeronaves,SMA,,CFGS (Modular presencial) (Mantenimiento de Aviónica)
28697,Sistemas de comunicaciones y de navegación de la aeronave y componentes asociados,SCA,,CFGS (Modular presencial) (Mantenimiento de Aviónica)
32130,Francés (2º idioma) II,FR2O2,,2º de Bachillerato (Ciencias y Tecnología)
32132,Inglés (2º idioma) II,IN2O2,,2º de Bachillerato (Ciencias y Tecnología)
32134,Alemán (2º idioma) II,AL2O2,,2º de Bachillerato (Ciencias y Tecnología)
32136,Biología,BIOOP,,2º de Bachillerato (Ciencias y Tecnología)
32138,Ciencias de la Tierra y medioambientales,CTMOP,,2º de Bachillerato (Ciencias y Tecnología)
32140,Dibujo técnico II,DT2OP,,2º de Bachillerato (Ciencias y Tecnología)
32142,Electrotecnia,ELEOP,,2º de Bachillerato (Ciencias y Tecnología)
32144,Física,FISOP,,2º de Bachillerato (Ciencias y Tecnología)
32146,Matemáticas II,MT2OP,,2º de Bachillerato (Ciencias y Tecnología)
32148,Química,QUIOP,,2º de Bachillerato (Ciencias y Tecnología)
32150,Tecnología industrial II,TI2OP,,2º de Bachillerato (Ciencias y Tecnología)
32152,Psicología,PSIOP,,2º de Bachillerato (Ciencias y Tecnología)
32154,Fundamentos de administración y gestión,FAGOP,,2º de Bachillerato (Ciencias y Tecnología)
32158,Mecánica,MECOP,,2º de Bachillerato (Ciencias y Tecnología)
32160,Religión católica,REL,,2º de Bachillerato (Ciencias y Tecnología)
32168,Francés (segundo Idioma) II,FR2O2,,2º de Bachillerato (Humanidades y Ciencias Sociales)
32176,Geografía,GEOOP,,2º de Bachillerato (Humanidades y Ciencias Sociales)
32186,Matemáticas aplicadas a las ciencias sociales II,MS2OP,,2º de Bachillerato (Humanidades y Ciencias Sociales)
32188,Psicología,PSIOP,,2º de Bachillerato (Humanidades y Ciencias Sociales)
